,teks,label,clean_text
29,Daftar di T3XA5PO-K3RCC bit.do/Texa5-Po-k3r Main SLOT GAMES bs dpt SPIN GRATIS. Ada jg Bol4 sboB4cc4ratmegawheel Bl4ckJ4ckP@-KER HKBCe'Me,1,daftar txapokrcc bitdotexapokr main slot games dpt spin gratis jg bol sbobccratmegawheel blckjckpker hkbceme
30,MEMBER YG TERPILIH SUDAH TERJAMIN JP & MENDAPATKAN MAXWIN DARI 1000 PESERTA. LANGSUNG DI PANTAU & KAWAL LANGSUNG SAMPE JP,1,member pilih jamin jp maxwin serta langsung pantau kawal langsung jp
31,"aku bisa bantu wd di situs aku kak dengan syarat setelah wd kamu berani ajak temen"" kamu maen di situs aku",1,bantu wd kak syarat wd berani ajak temen maen
32,Berani depo minimal 20rb aja ak bantu kknya maxwin 1juta skrg jga di game yang kk kuasai ak setting maxwin di bet 200 lngsung di buy freespin pertama ak berani jaminkan kemenangan 100% akun kamu di situs akuLINK : https://bit.ly/Linkgacorgressya,1,berani depo minimal bantu kknya maxwin jga game kk kuasa setting maxwin banget lngsung buy freespin berani jamin menang akun akulink
33,Hallo kak Aku ADELA dari HOT88 mau kasih info kalau nomor kaka mendapatkan ID MEMBER VIP dgn keuntungan nya.   LINK DAFTAR https://www.hot88.lol/register?ref=UABAAAA03D0,1,hallo kak adela hot kasih info nomor kaka id member vip dgn untung nya link daftar
34,Hallo kak aku ANGELLA dari situs BETA78 Selamat nomor kk terpilih mendapatkan ID MEMBER VVIP Link Resmi https://www.beta78.net/register?ref=ROGABBK07G1,1,hallo kak angella beta selamat nomor kk pilih id member vvip link resmi
35,SELAMAT KAMU TELAH TERPILIH MENJADI PESERTA EVENT HUJAN MAXWIN KAMU MENJADI MEMBER YG TERPILIH SUDAH TERJAMIN MAXWIN DARI 1000 PESERTA LINK: https://savageliga788.art/ ,1,selamat pilih serta event hujan maxwin member pilih jamin maxwin serta link
36,Transfer ke Rekening ini aja BANK BRI A/n ABBAS No Rek 5063-0103-2343-530,2,transfer rekening bank bri an abbas nomor rek
37, Info TerakhirKami Dr Keluarga BAIM PAULA Mengucapkan Slmt Anda Mdptkan Rp.50.000.000 Dengan Kode ID {VSG88D9} Info Lengkap Chat WhatsApp: +6282394972424,2,info terakhirkami dr keluarga baim paula selamat mdptkan rupiah kode id vsgd info lengkap chat whatsapp
38,SLAM-at No Anda terplih mraih Rp.175 jt PIN CK805KU INFO kunjungi  klik  bit.ly/inforesmi9,2,selamat nomor terplih mraih rupiah jt pin ckku info kunjung klik bitlyinforesmi
39,AYO IKUT INVESTAS1 TRADER FOREX 1jt Hasil 15jt 15jt Hasil 32jt 2jt Hasil 40jt 4jt Hasil 80jt 5jt Hasil 95jt Info klik http:bit.ly/traderOctaFx,2,ayo investas trader forex jt hasil jt jt hasil jt jt hasil jt jt hasil jt jt hasil jt info klik httpbitlytraderoctafx
40,**SELAMAT** No/wa Anda Meraih Cek 175jta Pin.(WHA012) Cek pin klik bit.ly/info-resmi3777,2,selamat nowa raih cek jta pinwha cek pin klik bitlyinforesmi
41,Ass... Bpk/Ibu Kmi Sampaikan bahwa Nmrnya Menang 50jt dri GIVE AWAY TRANS 7 PIN 4YH97U7 INFO Chat 082397117479,2,ass bpkibu kmi nomor menang jt dri give away trans pin yhu info chat
42,Bpk/Ibu... Kami menawarkan barang lelang yang tidak di tebus oleh pemiliknya. Original dan lengkap. Jika minat klik: http://bit.ly/Bumn-jkt,2,bpkibu tawar barang lelang tebus milik original lengkap minat klik
43,INFORMASI TRAKHIR !!! N.O.Anda dpt Rp.175.000.000 dri program GIVE AWAY KED4S B34UTY Kode pin ( CK805KU ) Silahkan cocokkan pin anda di  s.id/giveaway47,2,informasi trakhir noanda dpt rupiah dri program give away keds buty kode pin ckku silah cocok pin sidgiveaway
44,"Slamat''"" Anda Terpilih Mendapatkan Cek Tunai Program 2021 PIN (479kl278) Unrtuk info Verifikasi Klik: bit.ly/eraswasembadapt",2,selamat pilih cek tunai program pin kl unrtuk info verifikasi klik bitlyeraswasembadapt
45,Resmi dari PT.SHOPEE DAY 12.12 Anda mendapatkan cek tunai Rp.175jt Kode ID {d33c879} 1nfo Klik: bit.ly/gebyarsho-pee55,2,resmi ptshopee day cek tunai rpjt kode id dc nfo klik bitlygebyarshopee
46,N0.anda terpilih  m-dpatkan Rp.125jt  program tahunan  REJEKI SHOPEE 2020  Code ID (257A7G77)  U/ cara pengambilan klik bit.ly/infoundianhadiah,2,nanda pilih mdpatkan rpjt program tahun rejeki shopee code id ag ambil klik bitlyinfoundianhadiah
47,"Nasabah Yth"" Harap ke kantor Hari ini karena REKENING tabungan Anda ERROR & harus Dimonitor ulang. Sebelum Ke kantor harap hubungi WAWAN 081221188837 tks",2,nasabah hormat harap kantor rekening tabung error monitor ulang kantor harap hubung wawan terimakasih
48,kpada planggan yth  Slamat Anda trpilih sbgai pmenang undian LAZADA  dngan kodeID pin 47AAD57 U/info lnjut cek di www.program-lazada.gq,2,kpada planggan hormat selamat trpilih menang undi lazada dngan kodeid pin aad uinfo lnjut cek
49,Pelanggan 081224339626 Hari Ini Kamu Dapat +1000 Koin Pulsa & Paket Chat Sepuasnya. Koq Belum Diambil? Hub *500 *42 # dan Pilih 1 YA. Bisa Buat Tukar Pulsa!,2,langgan koin pulsa paket chat puas koq ambil hub pilih ya tukar pulsa
50,Pelanggan 081224339626 Hari Ini Kamu Dapat +1000 Koin Pulsa & Paket Chat Sepuasnya. Koq Belum Diambil? Hub *500 *42 # dan Pilih 1 YA. Bisa Buat Tukar Pulsa!,2,langgan koin pulsa paket chat puas koq ambil hub pilih ya tukar pulsa
51,Selamat Nomor 08122433! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus!,2,selamat nomor coin pulsa masuk ambil tukar pulsa hangus
52,Selamat Nomor 08122433 +1000 COIN PULSA Kamu Baru Saja Masuk. SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus! Nomor HP 081224339626 Selamat! Anda Dapat +2000 COIN PULSA.,2,selamat nomor coin pulsa masuk ambil tukar pulsa hangus nomor hp selamat coin pulsa
53,SEGERA Ambil di 500*75# dan Tukar Jadi PULSA Sebelum Hangus! Hubungi *500*75# dan Pilih 1 YA!,2,ambil tukar pulsa hangus hubung pilih ya
54,Selamat Nomor 081224339626! +1000 COINPULSA Anda Baru Saja Masuk. SEGERA Ambil di *500*70# Kumpul & Tukar Jd PULSA Sblm Hangus! Hub *500*70# & Pilih 1 YA!,2,selamat nomor coinpulsa masuk ambil kumpul tukar jd pulsa hangus hub pilih ya
55,Nomor 081224339626 Per Besok 23 Jul +1000 COIN PULSA Anda akan Hangus! SEGERA Ambil di *500*70# dan Tukar Jadi PULSA Hari Ini! Hub *500*70# dan Pilih 1 YA!,2,nomor besok jul coin pulsa hangus ambil tukar pulsa hub pilih ya
56,Selamat Nomor 081224339626! +1000 COIN PULSA Anda Baru Saja Masuk. SEGERA Ambil di *500*01# dan Tukar Jadi PULSA Sebelum Hangus!,2,selamat nomor coin pulsa masuk ambil tukar pulsa hangus
57,www.logiccodesoft.com Anda Memiliki +1000 COIN PULSA. SEGERA Ambil di *500*01# Kumpulkan dan Tukar Jadi PULSA Sebelum Hangus! Hubungi *500*01# dan Pilih 1 YA!,2,milik coin pulsa ambil kumpul tukar pulsa hangus hubung pilih ya
58,Sya TKW Dri Hongkong Terlilit Htang Di Bantu Oleh Kyai H.Yusuf Alhamdulillah Htang Sya Terlunasi Smua Melalui Dana G4iB WA: +6285757647277,2,tkw dri hongkong lilit htang bantu kyai hyusuf alhamdulillah htang lunas dana gib wa
59,sy di MALAYSIA butuh bantuan cik tuk bisa kutitipkan sementara h4rta sy tuk bekal h1dup di ind0klw cik orng jujur ini no wa sy +601164851897,2,malaysia butuh bantu cik tuk titip hrta tuk bekal hdup indklw cik orang jujur nomor wa
60,Kami tim (Bapau Family Official) Anda terpilih mendapat Rp.35jtChat admin GIVEAWAY langsung klik ikon WA:085231292599,2,tim bapau family official pilih rpjtchat admin giveaway langsung klik ikon wa
61,Lagi bete ama dia? Ayo main game dulu bit.ly/qqsutera Bonus hingga jutaan lho,1,bete ayo main game bitlyqqsutera bonus juta lho
62,Daftar segera dan jadilah pemenang di permainan Live D1ngd0ng Dragon Tiger serta togeI Sydney Singap0re Hongk0ng hanya di togeImandiri http://103.10.200.59,1,daftar menang main live dngdng dragon tiger toge sydney singapre hongkng togeimandiri
63,Ayok Bosqu bermain di web terhebat saat ini tayo4d.me dgn min dp hny 10rb. Turnover live games 0.5%. Kami tggu y bosque,1,ayok bosqu main hebat tayodme dgn min dp hny turnover live games tunggu y bosque
64,Main Domino QQ Texas pkr Ceme Big Two Blackjack & Joker Dealer dengan hp kesayangan anda di batikpker kapan saja dan dimana saja!! http://103.10.201.28/,1,main domino qq texas pkr ceme big two blackjack joker dealer hp sayang batikpker mana
65,Ayok Bosku bergabung di web terpercaya sekarang klik djarum4d.xyz dgn min dp hny 10rb. Turnover live games 0.5%. Kami tggu ya bosku,1,ayok bos gabung percaya klik djarumdxyz dgn min dp hny turnover live games tunggu ya bos
66,Raih Mega Jackpot hingga Rp 6.666.000 di Domino QQ Ceme & Ceme Fighter pada situs terpercaya GITARPker dengan link bebas nawala http://103.10.201.31/,1,raih mega jackpot rupiah domino qq ceme ceme fighter percaya gitarpker link bebas nawala
67,No: 47542  B0LA TANG.KAS TQG3L REBAT3 TINGGI Wasap: +855969172001 https://bit.ly/2HMqJhb,1,nomor bla tangkas tqgl rebat wasap
68,Hanya Ahabet Tersedia game paling lengkap ainkan TogeI ChinaCambodiaSydney Dingd0ng Sicbo Black Red 36D 24D & Domino QQ Di http://103.10.200.45/ ,1,ahabet sedia game lengkap ain toge chinacambodiasydney dingdng sicbo black red d d domino qq
69,Gabung ke T06ELMANDIRI[.]COM dgn komisi terbesar & hadiah bersaing Pasaran CambodiaSydneyChinaSingaporeTaiwanHongkong Daftar di http://103.10.200.59/,1,gabung telmandiricom dgn komisi besar hadiah saing pasar cambodiasydneychinasingaporetaiwanhongkong daftar
70,Daftar akun gratis Main permainan kartu ADU-Q Dapatkan Free Chips Giveaway Adu-Q Hingga 15jt di Jokerbet888 http://103.10.200.47 Min Dp 10rb Saja,1,daftar akun gratis main main kartu aduq dapat free chips giveaway aduq jt jokerbet min dp
71,Dapatkan hadiah x3000 di T093L Japan yang DIUNDI SETIAP HARI Hanya di Ahabet bit.ly/ahabet1 Tersedia juga T093L HongkongSydney dan PkerDominoCeme,1,dapat hadiah x tl japan undi ahabet bitlyahabet sedia tl hongkongsydney pkerdominoceme
72,Main jd b4nd4r di game Pker dealerceme! Daftar di Brovegas bit.ly/BroVegas Ada jg game PkerdominoaduQlive casino sicbolive 24ballT093L sydney dll,1,main jd bndr game pker dealerceme daftar brovegas bitlybrovegas jg game pkerdominoaduqlive casino sicbolive balltl sydney dll
73,Raih Jackpot hingga Rp 6.666.666- di DominoQQ ! Tersedia pker ceme D1N6D0NG Live 12Ball 48Ball Sicbo T09EL Taiwan dll. Batikpker bit.ly/Batikpker ,1,raih jackpot rupiah dominoqq sedia pker ceme dndng live ball ball sicbo tel taiwan dll batikpker bitlybatikpker
74,Min depo 10.000 anda telah dapat bermain permainan 70G3L ONLINE & LIVE C451N0 di sinartgl http://174.138.30.226 & ada juga bonus NEW MEMBER 5%. Segera Daftar!,1,min depo main main gl online live cn sinartgl bonus new member daftar
75,Cukup dgn min depo 10rb anda sudah dpat menikmati games terpopuler & pelayanan terbaik dari beberapa situs Jud! Online terpercaya ini! klik bd303.info,1,dgn min depo dpat nikmat games populer layan baik jud online percaya klik bdinfo
76,Bonus Cashback TO Casino sdh masuk id km! Mainkan & tingkatkan trs bettmu di Coloksgp! Makin menangmakin besar bonus mingguan km! Link: kilat.io/clksgp,1,bonus cashback casino masuk id km main tingkat bettmu coloksgp menangmakin bonus minggu km link kilatioclksgp
77,Coloksgp - Bonus rollingan & cashback casino sdh masuk id km ! Mainkan trs & perbesar bonusmu ditiap minggu ! Bareng kami pasti cuan banget ! Link: kilat.io/clk,1,coloksgp bonus rollingan cashback casino masuk id km main besar bonus tiap minggu bareng cuan banget link kilatioclk
78,Cek akun Coloksgp km skrg ! Bonus rollingan & cashback casino sdh masuk id km ! Tingkatkan terus permainanmu & perbesar bonus mingguan km ! Link: kilat.io/clk,1,cek akun coloksgp km bonus rollingan cashback casino masuk id km tingkat main besar bonus minggu km link kilatioclk
79,COLOKSGP - AKSES LINK TERBARU SUPAYA KAMU BISA JP DENGAN LANCAR WWW.COLOKSGP1.COM WWW.COLOKSGP.PRO Deposit Pakai QRIS cuma 1detik!,1,coloksgp akses link baru jp lancar deposit pakai qris detik
80,Nomor Anda Mendapatkan Hadiah dari Undian MKIOS Kode Pin anda (ijh76k79) Info klik. http://bit.ly/isiulang-mkios59,2,nomor hadiah undi mkios kode pin ijhk info klik
81,Ini nmor Reknya  8555-114-121Bank BCA A/n M. AGUS BUDIYANTO,2,nomor rek bank bca an m agus budiyanto
82,Pemberitahuan Terakhir LAZADA di sampaikan ke pada pemenang Anda M-dpkan CeK Tunai 175jt ID kode pemenang Anda (KBR99D7) Info lebih lengkap klik: www.hadiahundianlazada.ml,2,pemberitahuan lazada menang mdpkan cek tunai jt id kode menang kbrd info lengkap klik
83,Penyampaian Pesan Terakhir Resmi Dr LAZADA selamat T-pilih Pemenang M-dpt Cek Tunai Rp.175jt CODE ID-KBR99D7 Info Klik  www.hadiah2020.gq,2,sampai pesan resmi dr lazada selamat tpilih menang mdpt cek tunai rpjt code idkbrd info klik
84,promo undian lazada 2020 Slamat No.anda resmi M-dapatkan hadiah ke-2 Rp.175jt dari lazada ID pemenang (JK25FG7) U/info hadiah klik: bit.ly/pt-lazadaid83,2,promo undi lazada selamat noanda resmi mdapatkan hadiah rpjt lazada id menang jkfg uinfo hadiah klik bitlyptlazadaid
85,Surat keputusan resmi Selamat Nomor simcard Anda telah trpilih Mendapatkan Hadiah Dari SHOPEE Dengan Kode PIN Pemenang (AD25M47) U/Info Lebih Lanjut Klik Di: bit.ly/hadiahptshopee,2,surat putus resmi selamat nomor simcard trpilih hadiah shopee kode pin menang adm uinfo klik bitlyhadiahptshopee
86,PESAN RESMI DARI LAZADA No Anda Terpilih Sebagai Pemenang Undian dengan PIN:(RF755D9) U/INFO silahkan Verifikasi PIN Anda di https://bit.ly/undianlazada57,2,pesan resmi lazada nomor pilih menang undi pinrfd uinfo silah verifikasi pin
87,SIMCARD ANDA  terpilih sebagai pemenang SHOPEE INDONESIA senilai Rp125juta kode pin anda (AAQ2099) Info lanjut klik: bit.ly/hadiah-shopee17,2,simcard pilih menang shopee indonesia nila rpjuta kode pin aaq info klik bitlyhadiahshopee
88,Pelanggan 0812243396 +1000 COIN PULSA mu Belum Diambil? Hub *500*42# utk Ambil. Bisa Ditukar Pulsa Jangan Sampai Hangus. Hub *500*42# Sekarang.,2,langgan coin pulsa mu ambil hub ambil tukar pulsa hangus hub
89, nomor Anda Terpilih Sebagai Pemenang Hadiah Dari PT.LAZADA  dengan KODE ID:RF755D9 silahkan Verifikasi ID Anda di web kami: bit.ly/undianlazada67,2,nomor pilih menang hadiah ptlazada kode idrfd silah verifikasi id bitlyundianlazada
90,Pesan Pemberitahuan Resmi Slmt Anda T-Pilih Mdptkan Uang Tunai Rp175000000 Dr Program Lazada Kode ID_VSG88D9 U/info Klik www.infopemenanglazada.gq,2,pesan pemberitahuan resmi selamat tpilih mdptkan uang tunai rupiah dr program lazada kode id vsgd uinfo klik
91,kpd yth bpk/ibu Anda Terpilih Menjadi Pemenang Ke-2 Cek senilai 175jt Dengan Kode Pin:25F4777 U/info Klik Di: s.id/shopeeid243,2,kpd hormat bpkibu pilih menang cek nila jt kode pinf uinfo klik sidshopeeid
92,Selamat no Anda trpilih Mndapatkan Hadiah dri PT.PERTAMINA persero Dng Kode PIN {DD34A27} U/Info cek Langgsung di: http://bit.ly/info-pertamina55,2,selamat nomor trpilih mndapatkan hadiah dri ptpertamina persero dng kode pin dda uinfo cek langgsung
93,INFO RESMI..!!! Selamat No anda Terpilih sebagai pemenang Dari undian PT.PERTAMINA DGN KODE ID PIN:(27MUA59) info resmi cek hadiah anda di: www.linkpertamina.cf,2,info resmi selamat nomor pilih menang undi ptpertamina dgn kode id pinmua info resmi cek hadiah
94, maaf sya kabari lwt sms klw kontrknnya msh dilnjut pembyranya lwt adik sya pak zainul no/wa 082213751167 karna sdh dipndah tangkan sma dia,2,maaf kabar lwt sms klw kontrknnya dilnjut pembyranya lwt adik zainul nowa karna dipndah tang sma
95,Anda resmi dpt 100jt Dari TSEL Kode ID (257r477) klik link  bit.ly/67-telkomsel,2,resmi dpt jt tsel kode id r klik link bitlytelkomsel
96,717747 info Resmi WA 0822-5017-0675Buka :s.id/pertamina-elite011,2,info resmi wa buka sidpertaminaelite
97,Nomor Anda Terpilih penerima Subsidi PERTAMINA Rp.189.000.000 PIN PEMEN4NG  FF1178A lnfo Wshp  085250805577 Buka  s.id/pertamina-berkah-energi,2,nomor pilih terima subsidi pertamina rupiah pin pemenng ffa lnfo wshp buka sidpertaminaberkahenergi
98,Berkah subsidi pemerintah Rp.189.000.000 PIN PEMEN4NG:717747 INFO WA:0852-1527-4613 verifikasi kode:717747 s.id/my-pertamina6,2,berkah subsidi perintah rupiah pin pemenng info wa verifikasi kode sidmypertamina
99,Anda terima Berkah SUBS1DI PemerintahRp.189.000.000 Pin  717747 Wa 083862093679 BUKA bit.ly/pertamina-99,2,terima berkah subsdi pemerintahrp pin wa buka bitlypertamina
100,Untuk kegiatan hari ini boleh untuk bikin postingan Ig lumayan. Kaya konten jedag jedug juga boleh wkwkwkwkwk,0,giat bikin postingan ig lumayan kaya konten jedag jedug wkwkwkwkwk
101,Assalamualaikum Kak sorry ganggu malem2 gini. Ini penasaran aja sih . Gabut mau coba baca ulang buku di rak ini,0,assalamualaikum kak sorry ganggu malem gin penasaran sih gabut coba baca ulang buku rak
102,siang deh aku pagi masi ada kelas,0,siang deh pagi kelas
103,Belum ih loading wae kalo masih eror rk ka bank,0,ih loading kalo eror rk ka bank
104,Ikutan TOEPL? Share ke grup mna?,0,ikut toepl share grup
105,Alhamdulillah aku berapa ya,0,alhamdulillah ya
106,Coba jelaskan bagaimana diriku bisa membantu dari sini dengan hal itu?,0,coba diri bantu
107,Akuma gapikir panjang kalo ada org aneh2 chat ke aku langsung aku apusin chatnya,0,akuma gapikir kalo orang aneh chat langsung apusin chatnya
108,"jgn lupa ""we all bad in someone else's story""",0,jgn lupa we all bad in someone elses story
109,Soalnya malem enak buat istirahat aja,0,malem enak istirahat
110,Langsung bagi bagi aja ya sa pekerjaanya biar enak di zoom? Dari yg diatas itu?,0,langsung ya sa pekerjaanya biar enak zoom atas
111,Laporan akhir udh dicicil ya selanjutnya mau ngerjain apa ?,0,lapor cicil ya
112,ges ini tulisannya aku masih ngasal ya kalo ada yg lain ganti aja,0,ges tulis ngasal ya kalo ganti
113,Mungkin ini bisa membantu ada bagian 1 s.d 3 dari pembuatan tampilan aplikasi nya hingga mendeploy nya,0,bantu sd buat tampil aplikasi nya mendeploy nya
114,boleh minta email ga gais?,0,email ga gais
115,Gua ngajuin diri bikin laporan ges tapi gua tetep bantuin kalo modeling butih bantuan,0,gua ngajuin bikin lapor ges gua bantuin kalo modeling butih bantu
116,Masing masing 25 nih bilangnya gpp ges,0,nih bilang gpp ges
117,kesimpulan digabung sama yg baca terakhir nanti aja yaa,0,simpul gabung baca yaa
118,Ohh jelasin kaya ini tuh jenis jerawat ini gitu ya,0,ohh jelasin kaya tuh jenis jerawat gitu ya
